WIDXCOM.DAT
1876   1   1
 1966   5   5   3   1   5   4   5   4   5   5   5   5
 1967   4   2   2   3   5   4   5   4   2   5   5   5
 1968   4   4   3   5   4   2   2   5   5   5   5   5
 1969   3   1   4   3   1   5   5   5   3   1   4   5
 1970   3   1   4   5   4   4   3   4   4   2   2   2
 1971   3   4   2   2   2   2   5   4   2   2   2   5
 1972   5   2   5   5   3   1   1   1   1   1   1   3
 1973   1   3   4   5   4   4   2   2   2   2   4   2
 1974   2   2   2   2   2   2   4   2   2   2   3   5
 1975   5   4   2   2   2   2   2   2   2   2   2   2
 1976   2   2   2   3   5   5   3   1   1   4   4   3
 1977   4   4   3   1   1   1   1   1   1   1   1   1
 1978   1   3   1   5   4   2   5   5   5   5   5   5
 1979   5   4   3   5   4   5   4   3   4   5   5   5
 1980   4   5   3   1   4   5   5   5   5   5   5   5
 1981   5   5   3   1   4   2   2   2   2   3   4   5
 1982   4   3   5   5   5   3   1   1   1   1   1   1
 1983   1   1   1   1   4   3   5   4   4   2   5   5
 1984   5   4   3   4   5   3   4   5   5   5   4   5
 1985   5   4   3   4   2   3   4   4   5   5   5   5
 1986   4   3   4   5   5   4   2   3   5   4   3   1
 1987   1   3   1   1   1   1   1   1   1   1   5   5
 1988   5   5   4   5   4   3   4   2   2   2   2   2
 1989   2   2   2   4   2   2   2   3   4   2   3   5
 1990   5   3   4   4   4   3   5   5   1   5   5   5
 1991   5   5   3   1   1   5   5   3   3   1   1   1
 1992   1   1   1   1   4   3   1   5   5   3   1   1
 1993   1   1   1   3   1   1   1   1   1   1   4   5
 1994   5   5   3   3   1   1   1   1   1   1   1   1
 1995   1   5   5   3   1   5   4   5   5   5   5   3
 1996   4   5   5   5   5   4   2   2   2   2   5   4
 1997   2   4   3   3   1   1   1   3   1   1   1   1
 1998   3   1   1   1   4   4   2   2   2   2   2   2
 1999   2   2   2   4   3   5   4   5   5   4   2   2
 2000   2   4   2   2   2   3   5   4   2   2   2   2
 2001   2   2   2   5   3   4   5   5   4   5   4   3
 2002   4   4   3   5   3   1   5   3   1   1   5   3
 2003   4   3   1   5   5   3   4   5   5   5   5   4
 2004   3   4   2   3   4   3   1   5   5   5   5   1
 2005   4   3   4   3   1   4   5   3   0   0   0   0
