WIDXCOM.DAT
1876   1   1
 1876   2   2   3   4   2   2   3   4   2   3   5   5
 1877   0   0   0   0   0   0   1   1   1   1   1   1
 1878   1   1   1   1   4   5   4   2   2   2   2   2
 1879   2   2   2   2   2   4   2   2   2   2   2   3
 1880   4   2   2   2   2   2   2   2   2   2   2   3
 1881   1   1   4   5   5   5   5   5   1   1   4   5
 1882   3   5   4   5   4   3   3   1   1   4   5   4
 1883   2   2   3   4   2   2   3   4   3   4   2   3
 1884   1   1   4   3   4   4   3   5   5   4   5   3
 1885   1   4   5   5   5   3   1   5   1   3   1   4
 1886   5   5   5   4   2   2   2   2   2   2   2   2
 1887   2   2   2   2   3   4   5   5   2   2   3   4
 1888   5   5   3   3   1   1   1   1   1   1   1   1
 1889   3   4   3   4   5   4   3   5   4   2   4   2
 1890   2   2   2   2   2   5   5   5   4   2   5   5
 1891   4   3   5   4   5   5   5   5   1   4   5   5
 1892   4   3   4   2   2   2   2   2   2   2   2   2
 1893   2   2   5   5   4   2   2   2   2   2   2   2
 1894   2   5   5   5   5   5   5   5   2   2   2   5
 1895   5   5   5   5   5   5   5   5   5   5   5   5
 1896   5   5   3   5   3   1   1   1   1   1   1   1
 1897   1   1   1   1   1   4   5   5   5   5   3   4
 1898   2   2   4   2   3   5   4   5   5   5   5   5
 1899   4   2   2   2   3   5   1   5   4   4   4   3
 1900   5   1   3   1   1   4   2   2   3   1   1   5
 1901   4   5   4   2   5   4   2   4   3   1   1   1
 1902   4   3   4   2   2   2   5   3   3   1   5   5
 1903   5   1   4   2   2   3   4   5   4   2   5   4
 1904   2   2   2   4   2   3   5   4   5   5   3   4
 1905   3   3   1   1   1   1   1   1   5   5   3   1
 1906   1   5   1   5   4   3   4   4   2   2   4   2
 1907   5   5   4   5   5   5   5   5   5   5   5   5
 1908   5   5   4   5   5   5   5   4   4   2   2   3
 1909   5   5   5   3   4   4   2   2   2   5   2   2
 1910   5   4   2   2   5   4   2   2   2   2   2   2
 1911   2   5   5   5   3   1   1   1   1   1   1   5
 1912   3   3   1   3   1   1   4   5   5   5   4   3
 1913   1   5   4   5   5   5   5   5   5   1   1   1
 1914   1   4   4   3   1   1   1   1   1   1   1   1
 1915   1   1   1   1   4   5   5   2   5   3   3   4
 1916   2   3   5   4   4   2   4   2   2   2   2   2
 1917   2   2   2   2   2   2   2   2   2   2   2   2
 1918   2   2   3   4   2   3   3   1   5   5   4   3
 1919   1   1   1   4   5   5   1   1   5   5   1   1
 1920   4   5   5   5   5   4   2   2   2   3   5   4
 1921   2   2   2   2   2   2   2   3   4   2   2   2
 1922   2   2   2   3   5   4   5   5   4   2   2   2
 1923   2   5   2   2   2   5   3   1   1   1   3   4
 1924   5   4   5   3   4   2   2   2   2   2   2   2
 1925   5   4   2   2   3   5   3   1   1   3   1   1
 1926   1   3   1   1   5   5   4   5   4   5   5   5
 1927   5   5   4   2   2   5   5   5   5   5   5   4
 1928   3   4   2   2   3   5   4   4   2   2   2   4
 1929   2   2   2   5   3   4   5   5   5   4   2   2
 1930   4   2   5   5   4   3   5   5   5   4   5   5
 1931   4   3   4   2   2   2   2   5   5   5   5   5
 1932   5   5   5   5   5   5   5   5   3   1   5   4
 1933   3   4   5   4   5   3   4   5   5   5   2   2
 1934   2   5   5   4   3   4   2   3   1   4   4   3
 1935   4   3   4   2   3   5   5   5   4   2   2   3
 1936   5   5   5   4   2   5   4   3   4   5   3   4
 1937   4   3   4   5   5   5   3   4   5   5   5   4
 1938   2   2   5   4   4   2   2   2   2   2   2   4
 1939   2   2   2   2   5   5   4   5   3   1   1   1
 1940   4   5   5   1   1   1   1   1   1   1   1   3
 1941   1   1   1   1   1   3   1   1   1   3   1   1
 1942   1   1   5   5   4   2   5   4   2   2   3   4
 1943   2   2   2   4   2   3   4   4   2   2   2   3
 1944   1   4   5   3   5   5   5   4   5   3   1   4
 1945   5   2   2   3   4   4   2   4   2   2   5   4
 1946   3   4   5   5   1   1   1   1   3   1   4   5
 1947   5   5   4   3   3   4   4   2   2   3   4   2
 1948   5   5   5   4   5   3   4   5   5   4   2   3
 1949   5   4   5   5   5   3   4   5   4   5   3   4
 1950   2   4   2   2   2   4   2   2   2   4   2   2
 1951   2   2   3   5   1   4   3   1   3   1   1   1
 1952   1   1   4   3   4   2   2   5   5   4   5   3
 1953   4   3   5   5   3   4   5   3   1   4   5   5
 1954   4   3   5   4   5   5   4   4   2   5   5   4
 1955   3   4   3   5   4   2   2   2   2   2   2   2
 1956   2   2   2   2   2   2   2   2   2   4   3   4
 1957   2   3   5   5   3   4   5   3   1   4   3   1
 1958   3   1   5   5   3   4   5   2   3   5   5   5
 1959   1   1   4   2   5   3   5   5   5   5   4   2
 1960   5   5   4   2   2   5   4   2   2   5   4   2
 1961   3   4   3   4   2   5   5   5   5   5   2   2
 1962   2   3   5   5   4   2   5   4   2   2   2   5
 1963   4   2   5   2   2   3   4   5   5   3   1   1
 1964   1   5   4   5   4   2   2   4   2   2   2   5
 1965   5   4   5   3   4   3   3   1   1   1   1   4
