   69 DSMGAS     .0016   .0066           .0218   .0036   .9716     .35
   70 D-SO-MNU   .0017   .0066           .0218   .0038   .9716     .35
   71 D-LIQ      .0028   .0011           .0005   .0006   .9871     .35
   72 10-34-00     .10     .15   0.000   0.000   0.000     .75   0.000           0.273
   73 DAIRY-FR   0.007   0.005   0.000   0.031   0.003   0.990   0.000   0.000   0.000
   74 BEEF-FR    0.010   0.004   0.000   0.030   0.007   0.990   0.000   0.000   0.000
   75 VEAL-FR    0.023   0.006   0.000   0.029   0.007   0.990   0.000   0.000   0.000
   76 SWINE-FR   0.026   0.011   0.000   0.021   0.005   0.990   0.000   0.000   0.000
   77 SHEEP-FR   0.014   0.003   0.000   0.024   0.005   0.990   0.000   0.000   0.000
   78 GOAT-FR    0.013   0.003   0.000   0.022   0.005   0.990   0.000   0.000   0.000
   79 HORSE-FR   0.006   0.001   0.000   0.014   0.003   0.990   0.000   0.000   0.000
   80 28-10-10   0.280   0.100   0.000   0.000   0.000   0.000   0.420   0.000   0.000
   81 LAYER-FR   0.013   0.006   0.000   0.040   0.013   0.990   0.000   0.000   0.000
   82 BROIL-FR   0.010   0.004   0.000   0.040   0.010   0.990   0.000   0.000   0.000
   83 TURK-FR    0.007   0.003   0.000   0.045   0.016   0.990   0.000   0.000   0.000
   84 DUCK-FR    0.023   0.008   0.000   0.025   0.009   0.990   0.000   0.000   0.000
    1 Manure     0.002   0.007   0.000   0.022   0.004   0.972     .42   0.000   0.000

