    1TX ABILENE WB AP
  LATT =  32.43 LONG =  99.68 ELEV =  533.4 TP5 .5H =   79.5 TP6 6.H =  162.8
  5.99  5.51  5.66  5.03  4.00  3.00  2.11  2.42  3.94  4.98  5.57  5.42
  37.1  37.3  40.7  86.9 129.9  96.5  87.0  87.8 107.5  96.3  46.7  32.4
   7.9   5.8   8.6  11.4  13.7  13.7  16.3  18.3  16.3  17.5  10.4   6.9
  1.97  1.12  1.79  0.84  0.60  0.63  1.53  3.58  2.20  2.68  1.93  1.06
 0.110 0.130 0.110 0.150 0.190 0.120 0.120 0.140 0.140 0.140 0.100 0.090
 0.410 0.400 0.310 0.420 0.430 0.480 0.370 0.330 0.470 0.350 0.390 0.400
  4.87  5.16  4.26  6.16  7.75  5.63  4.96  5.36  6.27  5.49  4.23  4.04
  7.40 13.50 13.70 27.40 41.10 36.60 41.40 32.50 33.30 29.50 14.50 19.60
 11.13 14.27 18.03 20.67 23.77 27.07 26.65 24.27 21.30 16.40 12.89 10.67
 -1.67  0.00  0.56  7.22 13.33 16.67 17.22 16.11 14.44 10.00  2.78 -0.56
    2TX ANAHUAC 6 E
  LATT =  29.78 LONG =  94.58 ELEV =    6.1 TP5 .5H =   94.5 TP6 6.H =  221.5
 16.56 18.08 21.48 25.19 28.74 31.95 33.13 33.14 31.24 27.63 21.89 18.02
  5.59  6.92 10.16 14.86 18.77 22.13 23.40 23.00 20.34 14.69  9.37  6.49
  6.21  5.51  4.43  3.23  2.34  2.00  2.06  2.05  2.79  3.65  5.09  5.44
  6.21  5.57  5.34  4.40  3.01  2.12  1.47  1.72  3.11  4.68  5.63  5.60
  48.0  40.5  39.5  50.0  53.5  57.5  67.1  56.5  65.8  48.5  46.3  59.0
  16.3  15.0  17.5  22.9  21.8  26.7  25.7  18.8  24.9  27.9  22.4  19.0
  2.25  1.66  2.14  1.78  1.66  4.60  4.71  2.05  3.57  2.98  3.95  1.40
 0.200 0.190 0.180 0.170 0.150 0.160 0.190 0.200 0.170 0.130 0.150 0.190
 0.430 0.430 0.320 0.340 0.410 0.450 0.510 0.420 0.510 0.350 0.410 0.430
  8.05  7.25  6.49  6.14  6.28  6.76  8.66  7.95  7.73  5.17  6.08  7.75
 22.40 19.60 27.70 45.20 59.20 38.40 35.10 53.10 36.60 44.20 31.20 27.90
 12.13 14.06 16.74 19.04 23.56 25.27 26.02 23.60 19.62 16.95 12.22 10.75
  8.03  9.49 11.36 15.96 19.69 22.62 23.58 23.18 21.16 16.56 11.16  8.94
 16.56 18.08 21.48 25.19 28.74 31.95 33.13 33.14 31.24 27.63 21.89 18.02
  5.59  6.92 10.16 14.86 18.77 22.13 23.40 23.00 20.34 14.69  9.37  6.49
  6.21  5.51  4.43  3.23  2.34  2.00  2.06  2.05  2.79  3.65  5.09  5.44
  6.21  5.57  5.34  4.40  3.01  2.12  1.47  1.72  3.11  4.68  5.63  5.60
  72.1  60.8  59.3  74.9  80.2  86.3 100.6  84.8  98.6  72.8  69.5  88.6
  16.3  15.0  17.5  22.9  21.8  26.7  25.7  18.8  24.9  27.9  22.4  19.0
  2.25  1.66  2.14  1.78  1.66  4.60  4.71  2.05  3.57  2.98  3.95  1.40
 0.200 0.190 0.180 0.170 0.150 0.160 0.190 0.200 0.170 0.130 0.150 0.190
 0.430 0.430 0.320 0.340 0.410 0.450 0.510 0.420 0.510 0.350 0.410 0.430
  8.05  7.25  6.49  6.14  6.28  6.76  8.66  7.95  7.73  5.17  6.08  7.75
 22.40 19.60 27.70 45.20 59.20 38.40 35.10 53.10 36.60 44.20 31.20 27.90
 12.13 14.06 16.74 19.04 23.56 25.27 26.02 23.60 19.62 16.95 12.22 10.75
  8.03  9.49 11.36 15.96 19.69 22.62 23.58 23.18 21.16 16.56 11.16  8.94
 16.56 18.08 21.48 25.19 28.74 31.95 33.13 33.14 31.24 27.63 21.89 18.02
  5.59  6.92 10.16 14.86 18.77 22.13 23.40 23.00 20.34 14.69  9.37  6.49
  6.21  5.51  4.43  3.23  2.34  2.00  2.06  2.05  2.79  3.65  5.09  5.44
  6.21  5.57  5.34  4.40  3.01  2.12  1.47  1.72  3.11  4.68  5.63  5.60
  96.1  81.0  79.1  99.9 106.9 115.1 134.2 113.1 131.5  97.1  92.7 118.1
  16.3  15.0  17.5  22.9  21.8  26.7  25.7  18.8  24.9  27.9  22.4  19.0
  2.25  1.66  2.14  1.78  1.66  4.60  4.71  2.05  3.57  2.98  3.95  1.40
 0.200 0.190 0.180 0.170 0.150 0.160 0.190 0.200 0.170 0.130 0.150 0.190
 0.430 0.430 0.320 0.340 0.410 0.450 0.510 0.420 0.510 0.350 0.410 0.430
  8.05  7.25  6.49  6.14  6.28  6.76  8.66  7.95  7.73  5.17  6.08  7.75
 22.40 19.60 27.70 45.20 59.20 38.40 35.10 53.10 36.60 44.20 31.20 27.90
 12.13 14.06 16.74 19.04 23.56 25.27 26.02 23.60 19.62 16.95 12.22 10.75
  8.03  9.49 11.36 15.96 19.69 22.62 23.58 23.18 21.16 16.56 11.16  8.94
 16.56 18.08 21.48 25.19 28.74 31.95 33.13 33.14 31.24 27.63 21.89 18.02
  5.59  6.92 10.16 14.86 18.77 22.13 23.40 23.00 20.34 14.69  9.37  6.49
  6.21  5.51  4.43  3.23  2.34  2.00  2.06  2.05  2.79  3.65  5.09  5.44
  6.21  5.57  5.34  4.40  3.01  2.12  1.47  1.72  3.11  4.68  5.63  5.60
 120.1 101.3  98.9 124.9 133.6 143.9 167.8 141.4 164.4 121.4 115.9 147.6
  16.3  15.0  17.5  22.9  21.8  26.7  25.7  18.8  24.9  27.9  22.4  19.0
  2.25  1.66  2.14  1.78  1.66  4.60  4.71  2.05  3.57  2.98  3.95  1.40
 0.200 0.190 0.180 0.170 0.150 0.160 0.190 0.200 0.170 0.130 0.150 0.190
 0.430 0.430 0.320 0.340 0.410 0.450 0.510 0.420 0.510 0.350 0.410 0.430
  8.05  7.25  6.49  6.14  6.28  6.76  8.66  7.95  7.73  5.17  6.08  7.75
 22.40 19.60 27.70 45.20 59.20 38.40 35.10 53.10 36.60 44.20 31.20 27.90
 12.13 14.06 16.74 19.04 23.56 25.27 26.02 23.60 19.62 16.95 12.22 10.75
  8.03  9.49 11.36 15.96 19.69 22.62 23.58 23.18 21.16 16.56 11.16  8.94
 16.56 18.08 21.48 25.19 28.74 31.95 33.13 33.14 31.24 27.63 21.89 18.02
  5.59  6.92 10.16 14.86 18.77 22.13 23.40 23.00 20.34 14.69  9.37  6.49
  6.21  5.51  4.43  3.23  2.34  2.00  2.06  2.05  2.79  3.65  5.09  5.44
  6.21  5.57  5.34  4.40  3.01  2.12  1.47  1.72  3.11  4.68  5.63  5.60
 144.1 121.5 118.6 149.9 160.4 172.6 201.3 169.6 197.3 145.6 139.0 177.1
  16.3  15.0  17.5  22.9  21.8  26.7  25.7  18.8  24.9  27.9  22.4  19.0
  2.25  1.66  2.14  1.78  1.66  4.60  4.71  2.05  3.57  2.98  3.95  1.40
 0.200 0.190 0.180 0.170 0.150 0.160 0.190 0.200 0.170 0.130 0.150 0.190
 0.430 0.430 0.320 0.340 0.410 0.450 0.510 0.420 0.510 0.350 0.410 0.430
  8.05  7.25  6.49  6.14  6.28  6.76  8.66  7.95  7.73  5.17  6.08  7.75
 22.40 19.60 27.70 45.20 59.20 38.40 35.10 53.10 36.60 44.20 31.20 27.90
 12.13 14.06 16.74 19.04 23.56 25.27 26.02 23.60 19.62 16.95 12.22 10.75
  8.03  9.49 11.36 15.96 19.69 22.62 23.58 23.18 21.16 16.56 11.16  8.94
    3TX BALMORHEA EXP PAN
  LATT =  31.00 LONG = 103.68 ELEV =  981.5 TP5 .5H =   55.9 TP6 6.H =  107.2
 16.79 19.72 23.53 28.24 31.92 35.81 35.44 34.61 31.48 27.11 21.23 17.03
 -0.74  1.33  4.50  9.33 13.55 18.11 19.14 18.41 15.44 10.01  3.59  0.13
  6.86  6.12  5.79  5.02  4.37  3.67  3.11  3.35  4.72  5.36  6.02  6.62
  5.09  5.04  4.93  4.44  3.73  3.12  2.11  2.23  3.27  4.34  4.73  4.69
   6.9   6.9   5.1   8.1  17.3  15.3  21.0  20.9  28.0  17.3   7.2   6.8
   5.8   6.1   6.3   8.1  10.7  10.4  11.2  10.7  13.5  11.7   6.9   4.8
  2.43  1.77  2.96  2.47  2.73  2.58  3.48  2.43  1.99  4.80  1.73  0.05
 0.070 0.070 0.050 0.060 0.110 0.110 0.140 0.140 0.120 0.100 0.060 0.070
 0.350 0.360 0.310 0.380 0.360 0.340 0.380 0.400 0.500 0.440 0.390 0.380
  3.01  2.86  2.09  2.65  4.55  4.29  5.71  5.86  5.81  4.70  2.69  3.14
  4.60  7.10  5.80 17.30 28.20 23.90 32.00 39.60 23.90 21.10 12.40  4.60
 12.89 16.44 21.09 24.77 27.78 28.49 26.82 25.31 22.76 17.87 14.27 12.05
 -2.28 -1.16 -0.88  2.87  7.84 12.90 15.55 14.91 13.13  8.11  1.86 -0.84
 16.79 19.72 23.53 28.24 31.92 35.81 35.44 34.61 31.48 27.11 21.23 17.03
 -0.74  1.33  4.50  9.33 13.55 18.11 19.14 18.41 15.44 10.01  3.59  0.13
  6.86  6.12  5.79  5.02  4.37  3.67  3.11  3.35  4.72  5.36  6.02  6.62
  5.09  5.04  4.93  4.44  3.73  3.12  2.11  2.23  3.27  4.34  4.73  4.69
  10.4  10.4   7.6  12.1  25.9  22.9  31.6  31.3  42.0  25.9  10.7  10.2
   5.8   6.1   6.3   8.1  10.7  10.4  11.2  10.7  13.5  11.7   6.9   4.8
  2.43  1.77  2.96  2.47  2.73  2.58  3.48  2.43  1.99  4.80  1.73  0.05
 0.070 0.070 0.050 0.060 0.110 0.110 0.140 0.140 0.120 0.100 0.060 0.070
 0.350 0.360 0.310 0.380 0.360 0.340 0.380 0.400 0.500 0.440 0.390 0.380
  3.01  2.86  2.09  2.65  4.55  4.29  5.71  5.86  5.81  4.70  2.69  3.14
  4.60  7.10  5.80 17.30 28.20 23.90 32.00 39.60 23.90 21.10 12.40  4.60
 12.89 16.44 21.09 24.77 27.78 28.49 26.82 25.31 22.76 17.87 14.27 12.05
 -2.28 -1.16 -0.88  2.87  7.84 12.90 15.55 14.91 13.13  8.11  1.86 -0.84
 16.79 19.72 23.53 28.24 31.92 35.81 35.44 34.61 31.48 27.11 21.23 17.03
 -0.74  1.33  4.50  9.33 13.55 18.11 19.14 18.41 15.44 10.01  3.59  0.13
  6.86  6.12  5.79  5.02  4.37  3.67  3.11  3.35  4.72  5.36  6.02  6.62
  5.09  5.04  4.93  4.44  3.73  3.12  2.11  2.23  3.27  4.34  4.73  4.69
  13.8  13.8  10.1  16.1  34.6  30.5  42.1  41.7  56.0  34.6  14.3  13.6
   5.8   6.1   6.3   8.1  10.7  10.4  11.2  10.7  13.5  11.7   6.9   4.8
  2.43  1.77  2.96  2.47  2.73  2.58  3.48  2.43  1.99  4.80  1.73  0.05
 0.070 0.070 0.050 0.060 0.110 0.110 0.140 0.140 0.120 0.100 0.060 0.070
 0.350 0.360 0.310 0.380 0.360 0.340 0.380 0.400 0.500 0.440 0.390 0.380
  3.01  2.86  2.09  2.65  4.55  4.29  5.71  5.86  5.81  4.70  2.69  3.14
  4.60  7.10  5.80 17.30 28.20 23.90 32.00 39.60 23.90 21.10 12.40  4.60
 12.89 16.44 21.09 24.77 27.78 28.49 26.82 25.31 22.76 17.87 14.27 12.05
 -2.28 -1.16 -0.88  2.87  7.84 12.90 15.55 14.91 13.13  8.11  1.86 -0.84
 16.79 19.72 23.53 28.24 31.92 35.81 35.44 34.61 31.48 27.11 21.23 17.03
 -0.74  1.33  4.50  9.33 13.55 18.11 19.14 18.41 15.44 10.01  3.59  0.13
  6.86  6.12  5.79  5.02  4.37  3.67  3.11  3.35  4.72  5.36  6.02  6.62
  5.09  5.04  4.93  4.44  3.73  3.12  2.11  2.23  3.27  4.34  4.73  4.69
  17.3  17.3  12.6  20.1  43.3  38.1  52.6  52.1  70.0  43.3  17.9  17.0
   5.8   6.1   6.3   8.1  10.7  10.4  11.2  10.7  13.5  11.7   6.9   4.8
  2.43  1.77  2.96  2.47  2.73  2.58  3.48  2.43  1.99  4.80  1.73  0.05
 0.070 0.070 0.050 0.060 0.110 0.110 0.140 0.140 0.120 0.100 0.060 0.070
 0.350 0.360 0.310 0.380 0.360 0.340 0.380 0.400 0.500 0.440 0.390 0.380
  3.01  2.86  2.09  2.65  4.55  4.29  5.71  5.86  5.81  4.70  2.69  3.14
  4.60  7.10  5.80 17.30 28.20 23.90 32.00 39.60 23.90 21.10 12.40  4.60
 12.89 16.44 21.09 24.77 27.78 28.49 26.82 25.31 22.76 17.87 14.27 12.05
 -2.28 -1.16 -0.88  2.87  7.84 12.90 15.55 14.91 13.13  8.11  1.86 -0.84
 16.79 19.72 23.53 28.24 31.92 35.81 35.44 34.61 31.48 27.11 21.23 17.03
 -0.74  1.33  4.50  9.33 13.55 18.11 19.14 18.41 15.44 10.01  3.59  0.13
  6.86  6.12  5.79  5.02  4.37  3.67  3.11  3.35  4.72  5.36  6.02  6.62
  5.09  5.04  4.93  4.44  3.73  3.12  2.11  2.23  3.27  4.34  4.73  4.69
  20.7  20.7  15.2  24.2  51.9  45.8  63.1  62.6  84.0  51.9  21.5  20.4
   5.8   6.1   6.3   8.1  10.7  10.4  11.2  10.7  13.5  11.7   6.9   4.8
  2.43  1.77  2.96  2.47  2.73  2.58  3.48  2.43  1.99  4.80  1.73  0.05
 0.070 0.070 0.050 0.060 0.110 0.110 0.140 0.140 0.120 0.100 0.060 0.070
 0.350 0.360 0.310 0.380 0.360 0.340 0.380 0.400 0.500 0.440 0.390 0.380
  3.01  2.86  2.09  2.65  4.55  4.29  5.71  5.86  5.81  4.70  2.69  3.14
  4.60  7.10  5.80 17.30 28.20 23.90 32.00 39.60 23.90 21.10 12.40  4.60
 12.89 16.44 21.09 24.77 27.78 28.49 26.82 25.31 22.76 17.87 14.27 12.05
 -2.28 -1.16 -0.88  2.87  7.84 12.90 15.55 14.91 13.13  8.11  1.86 -0.84
    4TX BEEVILLE
  LATT =  28.45 LONG =  97.70 ELEV =   67.1 TP5 .5H =   90.4 TP6 6.H =  190.8
 18.56 20.46 24.33 27.72 30.48 33.41 35.02 35.57 32.97 29.19 23.70 19.64
  6.29  7.71 11.53 15.59 19.03 21.71 22.58 22.54 20.54 15.68 10.77  7.06
  6.92  6.29  5.48  3.88  3.11  2.68  2.48  3.32  3.22  4.07  5.58  6.15
  6.43  5.86  5.72  4.74  3.42  2.24  1.44  1.47  2.96  4.64  5.68  6.00
  20.4  23.4  21.6  28.4  46.0  40.9  34.5  32.0  50.2  33.8  26.3  26.1
   9.4  11.4  13.5  15.5  17.8  18.5  21.3  21.3  21.6  17.5  13.7  11.9
  3.29  3.33  3.50  2.05  1.46  2.07  4.96  4.88  4.98  3.11  2.60  2.91
 0.160 0.160 0.140 0.140 0.170 0.130 0.110 0.120 0.180 0.130 0.140 0.160
 0.480 0.480 0.400 0.370 0.400 0.500 0.470 0.440 0.510 0.450 0.430 0.460
  7.29  6.82  5.86  5.45  6.84  6.19  5.33  5.47  8.06  5.93  5.92  7.09
 12.20 14.20 19.30 34.00 41.10 44.70 31.20 27.40 46.20 32.50 23.60  9.40
 11.59 14.43 17.57 18.79 23.30 25.94 25.94 24.23 20.13 16.82 12.01 11.05
  7.33  9.23 10.89 15.39 19.73 21.94 22.16 21.83 20.49 16.15 10.82  8.24
 18.56 20.46 24.33 27.72 30.48 33.41 35.02 35.57 32.97 29.19 23.70 19.64
  6.29  7.71 11.53 15.59 19.03 21.71 22.58 22.54 20.54 15.68 10.77  7.06
  6.92  6.29  5.48  3.88  3.11  2.68  2.48  3.32  3.22  4.07  5.58  6.15
  6.43  5.86  5.72  4.74  3.42  2.24  1.44  1.47  2.96  4.64  5.68  6.00
  30.6  35.1  32.4  42.6  69.1  61.4  51.8  47.9  75.2  50.8  39.4  39.2
   9.4  11.4  13.5  15.5  17.8  18.5  21.3  21.3  21.6  17.5  13.7  11.9
  3.29  3.33  3.50  2.05  1.46  2.07  4.96  4.88  4.98  3.11  2.60  2.91
 0.160 0.160 0.140 0.140 0.170 0.130 0.110 0.120 0.180 0.130 0.140 0.160
 0.480 0.480 0.400 0.370 0.400 0.500 0.470 0.440 0.510 0.450 0.430 0.460
  7.29  6.82  5.86  5.45  6.84  6.19  5.33  5.47  8.06  5.93  5.92  7.09
 12.20 14.20 19.30 34.00 41.10 44.70 31.20 27.40 46.20 32.50 23.60  9.40
 11.59 14.43 17.57 18.79 23.30 25.94 25.94 24.23 20.13 16.82 12.01 11.05
  7.33  9.23 10.89 15.39 19.73 21.94 22.16 21.83 20.49 16.15 10.82  8.24
 18.56 20.46 24.33 27.72 30.48 33.41 35.02 35.57 32.97 29.19 23.70 19.64
  6.29  7.71 11.53 15.59 19.03 21.71 22.58 22.54 20.54 15.68 10.77  7.06
  6.92  6.29  5.48  3.88  3.11  2.68  2.48  3.32  3.22  4.07  5.58  6.15
  6.43  5.86  5.72  4.74  3.42  2.24  1.44  1.47  2.96  4.64  5.68  6.00
  40.8  46.8  43.2  56.8  92.1  81.8  69.0  63.9 100.3  67.7  52.6  52.2
   9.4  11.4  13.5  15.5  17.8  18.5  21.3  21.3  21.6  17.5  13.7  11.9
  3.29  3.33  3.50  2.05  1.46  2.07  4.96  4.88  4.98  3.11  2.60  2.91
 0.160 0.160 0.140 0.140 0.170 0.130 0.110 0.120 0.180 0.130 0.140 0.160
