 1010001 hu01010001.dly  47.31  -69.17
 1010002 hu01010002.dly  46.66  -69.30
 1010003 hu01010003.dly  47.01  -68.57
 1010004 hu01010004.dly  46.62  -68.41
 1010005 hu01010005.dly  46.29  -67.88
 1020001 hu01020001.dly  45.91  -69.45
 1020002 hu01020002.dly  46.11  -68.90
 1020003 hu01020003.dly  45.78  -68.16
 1020004 hu01020004.dly  45.35  -69.22
 1020005 hu01020005.dly  45.04  -68.67
 1030001 hu01030001.dly  45.60  -69.96
 1030002 hu01030002.dly  45.26  -70.41
 1030003 hu01030003.dly  44.74  -69.80
 1040001 hu01040001.dly  44.90  -70.98
 1040002 hu01040002.dly  44.38  -70.50
 1050001 hu01050001.dly  45.40  -67.59
 1050002 hu01050002.dly  44.54  -68.15
 1050003 hu01050003.dly  44.06  -69.47
 1050004 hu01050004.dly  45.28  -66.81
 1060001 hu01060001.dly  43.83  -70.34
 1060002 hu01060002.dly  43.90  -71.00
 1060003 hu01060003.dly  43.22  -70.85
 1070001 hu01070001.dly  43.82  -71.72
 1070002 hu01070002.dly  43.59  -71.37
 1070003 hu01070003.dly  43.17  -71.91
 1070004 hu01070004.dly  42.57  -71.74
 1070005 hu01070005.dly  42.40  -71.48
 1070006 hu01070006.dly  42.92  -71.50
 1080101 hu01080101.dly  44.80  -71.48
 1080102 hu01080102.dly  44.55  -71.99
 1080103 hu01080103.dly  44.24  -71.87
 1080104 hu01080104.dly  43.92  -72.23
 1080105 hu01080105.dly  43.88  -72.65
 1080106 hu01080106.dly  43.47  -72.39
 1080107 hu01080107.dly  43.07  -72.63
 1080201 hu01080201.dly  42.69  -72.47
 1080202 hu01080202.dly  42.65  -72.16
 1080203 hu01080203.dly  42.74  -72.85
 1080204 hu01080204.dly  42.32  -72.21
 1080205 hu01080205.dly  41.71  -72.54
 1080206 hu01080206.dly  42.29  -72.91
 1080207 hu01080207.dly  41.94  -72.96
 1090001 hu01090001.dly  42.43  -71.00
 1090002 hu01090002.dly  41.70  -70.48
 1090003 hu01090003.dly  42.09  -71.66
 1090004 hu01090004.dly  41.78  -71.27
 1090005 hu01090005.dly  41.38  -71.68
 1100001 hu01100001.dly  41.89  -71.94
 1100002 hu01100002.dly  41.82  -72.21
 1100003 hu01100003.dly  41.46  -72.12
 1100004 hu01100004.dly  41.40  -72.80
 1100005 hu01100005.dly  41.78  -73.32
 1100006 hu01100006.dly  41.18  -73.44
 1100007 hu01100007.dly  41.16  -72.85
 1110000 hu01110000.dly  44.89  -72.08
 2010001 hu02010001.dly  43.46  -73.39
 2010002 hu02010002.dly  43.78  -73.06
 2010003 hu02010003.dly  44.31  -72.70
 2010004 hu02010004.dly  44.35  -73.68
 2010005 hu02010005.dly  44.61  -72.67
 2010006 hu02010006.dly  44.62  -73.87
 2010007 hu02010007.dly  44.91  -72.67
 2010008 hu02010008.dly  44.60  -73.30
 2020001 hu02020001.dly  43.78  -74.01
 2020002 hu02020002.dly  43.34  -74.24
 2020003 hu02020003.dly  43.00  -73.44
 2020004 hu02020004.dly  43.11  -74.78
 2020005 hu02020005.dly  42.54  -74.43
 2020006 hu02020006.dly  42.34  -73.86
 2020007 hu02020007.dly  41.55  -74.38
 2020008 hu02020008.dly  41.62  -73.93
 2030101 hu02030101.dly  41.25  -73.79
 2030102 hu02030102.dly  40.95  -73.78
 2030103 hu02030103.dly  40.96  -74.28
 2030104 hu02030104.dly  40.45  -74.12
 2030105 hu02030105.dly  40.52  -74.62
 2030201 hu02030201.dly  40.97  -73.10
 2030202 hu02030202.dly  40.84  -72.88
